name,iso3,continet,status,flag
Somalia,SOM,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Somalia-flag.gif
South Africa,ZAF,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/South-Africa-flag.gif
Sudan,SDN,Africa,Permitted By Law,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Sudan-flag.gif
Swaziland,SWZ,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Swaziland-flag.gif
Tanzania,TZA,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Tanzania-flag.gif
Togo,TGO,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Togo-flag.gif
Tunisia,TUN,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Tunisia-flag.gif
Uganda,UGA,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Uganda-flag.gif
Western Sahara,ESH,Africa
Zambia,ZMB,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Zambia-flag.gif
Zimbabwe,ZWE,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Zimbabwe-flag.gif
Afghanistan,AFG,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/afghanistan-flag.gif
Armenia,ARM,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Armenia-flag.gif
Azerbaijan,AZE,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Azerbaijan-flag.gif
Bahrain,BHR,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Bahrain-flag.gif
Bangladesh,BGD,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Bangladesh-flag.gif
Bhutan,BTN,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Bhutan-flag.gif
Brunei,BRN,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Brunei-flag.gif
Cambodia,KHM,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Cambodia-flag.gif
China,CHN,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/China-flag.gif
Cyprus,CYP,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Cyprus-flag.gif
North Korea,PRK,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/North-Korea-flag.gif
Georgia,GEO,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Georgia-flag.gif
India,IND,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/India-flag.gif
Iran,IRN,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Iran-flag.gif
Iraq,IRQ,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Iraq-flag.gif
Israel,ISR,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Israel-flag.gif
Japan,JPN,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Japan-flag.gif
Jordan,JOR,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Jordan-flag.gif
Kazakhstan,KAZ,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Kazakhstan-flag.gif
South Korea,KOR,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/South-Korea-flag.gif
Kuwait,KWT,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Kuwait-flag.gif
Kyrgyzstan,KGZ,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Kyrgyzstan-flag.gif
Laos,LAO,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Laos-flag.gif
Lebanon,LBN,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Lebanon-flag.gif
Macao,MAC,Asia
Malaysia,MYS,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Malaysia-flag.gif
Maldives,MDV,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Maldives-flag.gif
Mongolia,MNG,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Mongolia-flag.gif
Myanmar,MMR,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Myanmar-flag.gif
Nepal,NPL,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Nepal-flag.gif
Oman,OMN,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Oman-flag.gif
Pakistan,PAK,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Pakistan-flag.gif
Palestine,PSE,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Palestine-flag.gif
Philippines,PHL,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Philippines-flag.gif
Qatar,QAT,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Qatar-flag.gif
Saudi Arabia,SAU,Asia,Banned By Law,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Saudi-Arabia-flag.gif
Kashmir,-99,Asia
Singapore,SGP,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Singapore-flag.gif
Sri Lanka,LKA,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Sri-Lanka-flag.gif
Syria,SYR,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Syria-flag.gif
Taiwan,TWN,Asia
Tajikistan,TJK,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Tajikistan-flag.gif
Thailand,THA,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Thailand-flag.gif
Timor-Leste,TLS,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Timor-flag.gif
Turkey,TUR,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Turkey-flag.gif
Turkmenistan,TKM,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Turkmenistan-flag.gif
United Arab Emirates,ARE,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/United-Arab-Emirates-flag.gif
Uzbekistan,UZB,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Uzbekistan-flag.gif
Vietnam,VNM,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Vietnam-flag.gif
Yemen,YEM,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Yemen-flag.gif
N. Cyprus,-99,Europe
Aland,ALA,Europe
Albania,ALB,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Albania-flag.gif
Andorra,AND,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Andorra-flag.gif
Austria,AUT,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Austria-flag.gif
Belarus,BLR,Europe,Permitted By Constitution,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Belarus-flag.gif
Belgium,BEL,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Belgium-flag.gif
Bosnia and Herzegovina,BIH,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/bosnia-and-herzegovina-flag.gif
Bulgaria,BGR,Europe,Permitted By Constitution,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Bulgaria-flag.gif
Croatia,HRV,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Croatia-flag.gif
Czech,CZE,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/czech-republic-flag.gif
Denmark,DNK,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Denmark-flag.gif
Estonia,EST,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Estonia-flag.gif
Faeroe Is.,FRO,Europe
Finland,FIN,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Finland-flag.gif
France,FRA,Europe,Banned By Constitution,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/France-flag.gif
Germany,DEU,Europe,Banned By Constitution,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Germany-flag.gif
Greece,GRC,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Greece-flag.gif
Guernsey,GGY,Europe
Hungary,HUN,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Hungary-flag.gif
Iceland,ISL,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Iceland-flag.gif
Ireland,IRL,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Ireland-flag.gif
Isle of Man,IMN,Europe
Italy,ITA,Europe,Banned By Constitution,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Italy-flag.gif
Jersey,JEY,Europe
Kosovo,-99,Europe
Latvia,LVA,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Latvia-flag.gif
Liechtenstein,LIE,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Liechtenstein-flag.gif
Lithuania,LTU,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Lithuania-flag.gif
Luxembourg,LUX,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Luxembourg-flag.gif
Macedonia,MKD,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Macedonia-flag.gif
Malta,MLT,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Malta-flag.gif
Moldova,MDA,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Moldova-flag.gif
Monaco,MCO,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Monaco-flag.gif
Montenegro,MNE,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Montenegro-flag.gif
Netherlands,NLD,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Netherlands-flag.gif
Norway,NOR,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Norway-flag.gif
Poland,POL,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Poland-flag.gif
Portugal,PRT,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Portugal-flag.gif
Romania,ROU,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Romania-flag.gif
Russia,RUS,Europe,Banned By Law,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Russia-flag.gif
San Marino,SMR,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/San-Marino-flag.gif
Serbia,SRB,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Serbia-flag.gif
Slovakia,SVK,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Slovakia-flag.gif
Slovenia,SVN,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Slovenia-flag.gif
Spain,ESP,Europe,Permitted By Law,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Spain-flag.gif
Sweden,SWE,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Sweden-flag.gif
Switzerland,CHE,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Switzerland-flag.gif
Ukraine,UKR,Europe,Permitted By Law,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Ukraine-flag.gif
United Kingdom,GBR,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/United-Kingdom-flag.gif
Vatican,VAT,Europe
Anguilla,AIA,North America
Antigua and Barbuda,ATG,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/antigua-and-barbuda-flag.gif
Aruba,ABW,North America
Bahamas,BHS,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Bahamas-flag.gif
Barbados,BRB,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Barbados-flag.gif
Belize,BLZ,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Belize-flag.gif
Bermuda,BMU,North America
British Virgin Is.,VGB,North America
Canada,CAN,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Canada-flag.gif
Cayman Is.,CYM,North America
Costa Rica,CRI,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Costa-Rica-flag.gif
Cuba,CUB,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Cuba-flag.gif
Dominica,DMA,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Dominica-flag.gif
Dominican Republic,DOM,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/dominican-republic-flag.gif
El Salvador,SLV,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/El-Salvador-flag.gif
Greenland,GRL,North America
Grenada,GRD,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Grenada-flag.gif
Guatemala,GTM,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Guatemala-flag.gif
Haiti,HTI,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Haiti-flag.gif
Honduras,HND,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Honduras-flag.gif
Jamaica,JAM,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Jamaica-flag.gif
Mexico,MEX,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Mexico-flag.gif
Montserrat,MSR,North America
Nicaragua,NIC,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Nicaragua-flag.gif
Panama,PAN,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Panama-flag.gif
Puerto Rico,PRI,North America
Saint Lucia,LCA,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Saint-Lucia-flag.gif
Sint Maarten,SXM,North America
Saint Kitts and Nevis,KNA,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/saint-kitts-and-nevis-flag.gif
St. Pierre and Miquelon,SPM,North America
Saint Vincent and the Grenadines,VCT,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/saint-vincent-and-the-grenadines-flag.gif
St-Barth�lemy,BLM,North America
St-Martin,MAF,North America
Trinidad and Tobago,TTO,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Trinidad-and-Tobago-flag.gif
Turks and Caicos Is.,TCA,North America
U.S. Virgin Is.,VIR,North America
United States,USA,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/United-States-flag.gif
American Samoa,ASM,Oceania
Ashmore and Cartier Is.,-99,Oceania
Australia,AUS,Oceania,Banned By Constitution,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Australia-flag.gif
Cook Is.,COK,Oceania
Fiji,FJI,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Fiji-flag.gif
Fr. Polynesia,PYF,Oceania
Guam,GUM,Oceania
Kiribati,KIR,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Kiribati-flag.gif
Marshall Islands,MHL,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/marshall-islands-flag.gif
Micronesia,FSM,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Micronesia-flag.gif
N. Mariana Is.,MNP,Oceania
Nauru,NRU,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Nauru-flag.gif
New Caledonia,NCL,Oceania
New Zealand,NZL,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/New-Zealand-flag.gif
Niue,NIU,Oceania
Norfolk Island,NFK,Oceania
Palau,PLW,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Palau-flag.gif
Papua New Guinea,PNG,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Papua-New-Guinea-flag.gif
Pitcairn Is.,PCN,Oceania
Samoa,WSM,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Samoa-flag.gif
Solomon Islands,SLB,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/solomon-islands-flag.gif
Tonga,TON,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Tonga-flag.gif
Tuvalu,TUV,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Tuvalu-flag.gif
Vanuatu,VUT,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Vanuatu-flag.gif
Wallis and Futuna Is.,WLF,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Wallis and Futuna Is.-flag.gif
Br. Indian Ocean Ter.,IOT,Seven seas (open ocean)
Fr. S. Antarctic Lands,ATF,Seven seas (open ocean)
Heard I. and McDonald Is.,HMD,Seven seas (open ocean)
S. Geo. and S. Sandw. Is.,SGS,Seven seas (open ocean)
Saint Helena,SHN,Seven seas (open ocean)
Argentina,ARG,South America,Permitted By Constitution,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Argentina-flag.gif
